iter	Logloss
0	0.6249991425
1	0.5684935806
2	0.5184810392
3	0.47606389
4	0.4418642682
5	0.4125808057
6	0.3902666747
7	0.3674352964
8	0.3498866321
9	0.3318300867
10	0.3165782086
11	0.3034486746
12	0.2929680159
13	0.285097322
14	0.2757584926
15	0.2684213462
16	0.2619658935
17	0.256342141
18	0.2505522609
19	0.2446465547
20	0.2395937592
21	0.2357040448
22	0.2306372915
23	0.2267250535
24	0.2235808245
25	0.2211671618
26	0.2184947784
27	0.2158463836
28	0.2139527971
29	0.2118571166
30	0.2102673416
31	0.2086860302
32	0.2061547518
33	0.2043823859
34	0.2020693827
35	0.2006387613
36	0.1991230379
37	0.1975870395
38	0.1961155018
39	0.1949354239
40	0.193643345
41	0.1922645645
42	0.1914763304
43	0.1897666341
44	0.1888755618
45	0.1876541136
46	0.1866927204
47	0.1858604291
48	0.1850295002
49	0.184099328
50	0.1832516437
51	0.1823193753
52	0.1813830858
53	0.1804178603
54	0.1795584775
55	0.1787484484
56	0.1781879159
57	0.1773236821
58	0.1765746793
59	0.1760303355
60	0.1752611231
61	0.1747002718
62	0.1739524445
63	0.1735847326
64	0.1731821265
65	0.1724337177
66	0.1719284418
67	0.1713197509
68	0.1708565126
69	0.1704083946
70	0.1698290204
71	0.169413172
72	0.1690488361
73	0.168404424
74	0.1678013134
75	0.1670294103
76	0.166615751
77	0.1661738651
78	0.1656929022
79	0.1652041402
80	0.1647686955
81	0.1642405561
82	0.1639378825
83	0.1634071996
84	0.1630532342
85	0.1626036961
86	0.1623235796
87	0.1618049918
88	0.161286222
89	0.1608303144
90	0.1603882478
91	0.159910439
92	0.1596756511
93	0.1592538085
94	0.1589220855
95	0.1587775308
96	0.158189943
97	0.1577988448
98	0.1576363256
99	0.1571334583
100	0.1566837772
101	0.1562351453
102	0.1560097272
103	0.1554826834
104	0.1551594155
105	0.1548908591
106	0.1544573646
107	0.1540182727
108	0.1536859152
109	0.1534587413
110	0.1531590155
111	0.1526500675
112	0.1523518648
113	0.1520675749
114	0.1518641018
115	0.1515716119
116	0.151351149
117	0.1509916589
118	0.1506093586
119	0.150402195
120	0.1501099561
121	0.1499212623
122	0.1496878728
123	0.1493445929
124	0.1491000038
125	0.1487579134
126	0.1485486402
127	0.1483146769
128	0.1478584612
129	0.1473961059
130	0.1470491303
131	0.1465663556
132	0.1462256519
133	0.1458244169
