iter	Passed	Remaining
412	3729	5301
413	3738	5291
414	3747	5282
415	3756	5272
416	3765	5263
417	3774	5255
418	3783	5246
419	3792	5237
420	3800	5227
421	3809	5217
422	3818	5208
423	3827	5198
424	3836	5190
425	3844	5180
426	3853	5171
427	3862	5162
428	3871	5153
429	3881	5144
430	3889	5135
431	3898	5126
432	3907	5116
433	3915	5106
434	3924	5097
435	3933	5088
436	3942	5079
437	3951	5070
438	3960	5061
439	3970	5052
440	3978	5043
441	3987	5033
442	3996	5024
443	4005	5015
444	4014	5006
445	4022	4996
446	4031	4987
447	4040	4978
448	4049	4969
449	4058	4959
450	4066	4950
451	4075	4940
452	4083	4931
453	4092	4922
454	4101	4912
455	4109	4902
456	4118	4893
457	4127	4884
458	4135	4874
459	4144	4865
460	4153	4856
461	4161	4846
462	4170	4837
463	4179	4828
464	4189	4819
465	4197	4810
466	4206	4801
467	4215	4791
468	4224	4783
469	4233	4774
470	4243	4765
471	4252	4756
472	4261	4747
473	4270	4738
474	4279	4729
475	4288	4721
476	4297	4712
477	4306	4702
478	4314	4693
479	4323	4683
480	4332	4674
481	4341	4665
482	4350	4657
483	4360	4648
484	4369	4639
485	4378	4630
486	4387	4621
487	4396	4612
488	4405	4603
489	4414	4595
490	4424	4586
491	4433	4577
492	4442	4569
493	4452	4560
494	4461	4552
495	4471	4543
496	4481	4535
497	4490	4527
498	4499	4518
499	4509	4509
500	4518	4500
501	4528	4492
502	4537	4483
503	4546	4474
504	4556	4465
505	4565	4457
506	4574	4447
507	4583	4438
508	4593	4430
509	4602	4422
510	4611	4413
511	4621	4404
512	4630	4395
513	4639	4386
514	4648	4377
515	4657	4369
516	4667	4360
517	4676	4351
518	4686	4342
519	4695	4334
520	4706	4326
521	4715	4318
522	4725	4309
523	4734	4300
524	4743	4291
525	4752	4282
526	4762	4274
527	4771	4265
528	4780	4256
529	4790	4248
530	4799	4239
531	4809	4231
532	4819	4222
533	4828	4213
534	4837	4204
535	4845	4194
536	4853	4185
537	4862	4175
538	4871	4166
539	4879	4156
540	4888	4147
541	4897	4138
542	4906	4129
543	4915	4120
544	4927	4113
545	4938	4105
546	4946	4096
547	4955	4087
548	4964	4077
549	4972	4068
550	4981	4059
551	4991	4050
552	5000	4041
553	5009	4032
554	5017	4023
555	5026	4013
556	5035	4004
557	5044	3995
558	5052	3986
559	5061	3976
560	5069	3967
561	5078	3957
562	5087	3948
563	5095	3939
564	5104	3929
565	5112	3920
566	5121	3911
567	5130	3901
568	5139	3893
569	5148	3883
570	5157	3874
571	5165	3865
572	5174	3855
573	5183	3846
574	5192	3837
575	5201	3828
576	5210	3819
577	5218	3810
578	5227	3801
579	5236	3792
580	5245	3783
581	5254	3773
582	5263	3764
583	5271	3755
584	5280	3746
585	5290	3737
586	5298	3727
587	5307	3718
588	5316	3709
589	5325	3701
590	5335	3692
591	5345	3683
592	5356	3676
593	5367	3668
594	5378	3660
595	5388	3652
596	5400	3645
597	5411	3637
598	5421	3629
599	5432	3621
600	5443	3613
601	5454	3605
602	5464	3597
603	5475	3590
604	5487	3582
605	5498	3574
606	5508	3566
607	5518	3558
608	5530	3550
609	5540	3542
610	5551	3534
611	5562	3526
612	5574	3519
613	5585	3511
614	5596	3503
615	5607	3495
616	5617	3487
617	5627	3478
618	5638	3470
619	5648	3461
620	5658	3453
621	5668	3445
622	5679	3437
623	5690	3428
624	5700	3420
625	5711	3412
626	5721	3403
627	5731	3395
628	5740	3385
629	5749	3376
630	5759	3368
631	5768	3359
632	5778	3350
633	5787	3341
634	5797	3332
635	5808	3324
636	5818	3315
637	5829	3307
638	5839	3299
639	5850	3290
640	5861	3282
641	5871	3274
642	5881	3265
643	5891	3256
644	5901	3248
645	5911	3239
646	5922	3231
647	5932	3222
648	5943	3214
649	5953	3205
650	5963	3196
651	5973	3188
652	5982	3179
653	5991	3169
654	6000	3160
655	6008	3150
656	6017	3141
657	6026	3132
658	6034	3122
659	6043	3113
660	6051	3103
661	6060	3094
662	6068	3084
663	6077	3075
664	6085	3065
665	6094	3056
666	6103	3047
667	6112	3037
668	6121	3028
669	6130	3019
670	6139	3010
671	6148	3000
672	6156	2991
673	6165	2981
674	6173	2972
675	6182	2963
676	6191	2954
677	6201	2945
678	6210	2936
679	6220	2927
680	6229	2918
681	6238	2908
682	6247	2899
683	6255	2890
684	6265	2881
685	6274	2872
686	6284	2863
687	6294	2854
688	6304	2845
689	6314	2837
690	6324	2828
691	6336	2820
692	6347	2811
693	6357	2803
694	6367	2794
695	6377	2785
696	6388	2777
697	6398	2768
698	6407	2759
699	6417	2750
700	6427	2741
701	6437	2732
702	6446	2723
703	6455	2714
704	6464	2704
705	6472	2695
706	6481	2686
707	6490	2676
708	6499	2667
709	6509	2658
710	6517	2649
711	6526	2639
712	6535	2630
713	6544	2621
714	6552	2611
715	6561	2602
716	6570	2593
717	6579	2583
718	6588	2574
719	6597	2565
720	6606	2556
721	6614	2546
722	6623	2537
723	6632	2528
724	6641	2519
725	6650	2509
726	6659	2500
727	6668	2491
728	6676	2482
729	6685	2472
730	6695	2463
731	6704	2454
732	6713	2445
733	6722	2436
734	6732	2427
735	6740	2417
736	6749	2408
737	6757	2399
738	6767	2390
739	6775	2380
740	6784	2371
741	6793	2362
742	6802	2352
743	6811	2343
744	6820	2334
745	6829	2325
746	6839	2316
747	6848	2307
748	6857	2297
749	6865	2288
750	6874	2279
751	6883	2270
752	6892	2260
753	6901	2251
754	6910	2242
755	6919	2233
756	6929	2224
757	6939	2215
758	6949	2206
759	6959	2197
760	6970	2189
761	6982	2180
762	6993	2172
763	7005	2163
764	7017	2155
765	7028	2147
766	7038	2138
767	7049	2129
768	7059	2120
769	7070	2111
770	7080	2103
771	7090	2094
772	7101	2085
773	7111	2076
774	7121	2067
775	7131	2058
776	7141	2049
777	7151	2040
778	7159	2031
779	7168	2021
780	7177	2012
781	7186	2003
782	7195	1994
783	7204	1984
784	7213	1975
785	7223	1966
786	7232	1957
787	7241	1948
788	7250	1938
789	7258	1929
790	7267	1920
791	7276	1910
792	7285	1901
793	7293	1892
794	7303	1883
795	7312	1874
796	7322	1865
797	7333	1856
798	7343	1847
799	7354	1838
800	7364	1829
801	7374	1820
802	7384	1811
803	7394	1802
804	7405	1793
805	7415	1784
806	7425	1775
807	7435	1766
808	7446	1757
809	7455	1748
810	7466	1740
811	7476	1731
812	7487	1722
813	7496	1713
814	7505	1703
815	7514	1694
816	7523	1685
817	7531	1675
818	7540	1666
819	7549	1657
820	7558	1647
821	7569	1639
822	7580	1630
823	7590	1621
824	7602	1612
825	7613	1603
826	7625	1595
827	7637	1586
828	7649	1577
829	7660	1569
830	7671	1560
831	7683	1551
832	7694	1542
833	7705	1533
834	7717	1524
835	7728	1516
836	7739	1507
837	7751	1498
838	7762	1489
839	7772	1480
840	7783	1471
841	7792	1462
842	7801	1452
843	7810	1443
844	7819	1434
845	7827	1424
846	7837	1415
847	7846	1406
848	7854	1397
849	7863	1387
850	7872	1378
851	7882	1369
852	7891	1360
853	7902	1350
854	7912	1341
855	7923	1332
856	7933	1323
857	7944	1314
858	7954	1305
859	7965	1296
860	7976	1287
861	7986	1278
862	7996	1269
863	8007	1260
864	8017	1251
865	8027	1242
866	8038	1233
867	8047	1223
868	8057	1214
869	8067	1205
870	8076	1196
871	8085	1186
872	8095	1177
873	8104	1168
874	8113	1159
875	8122	1149
876	8130	1140
877	8139	1130
878	8147	1121
879	8156	1112
880	8164	1102
881	8173	1093
882	8183	1084
883	8193	1075
884	8204	1066
885	8215	1057
886	8225	1047
887	8236	1038
888	8247	1029
889	8256	1020
890	8266	1011
891	8276	1002
892	8288	993
893	8299	984
894	8310	974
895	8322	966
896	8334	957
897	8345	947
898	8356	938
899	8366	929
900	8375	920
901	8384	910
902	8393	901
903	8402	892
904	8410	882
905	8419	873
906	8429	864
907	8439	855
908	8449	845
909	8460	836
910	8471	827
911	8481	818
912	8492	809
913	8502	799
914	8512	790
915	8522	781
916	8533	772
917	8542	763
918	8553	753
919	8563	744
920	8574	735
921	8584	726
922	8595	717
923	8605	707
924	8616	698
925	8626	689
926	8635	680
927	8644	670
928	8652	661
929	8661	651
930	8670	642
931	8679	633
932	8687	623
933	8696	614
934	8706	605
935	8715	595
936	8723	586
937	8732	577
938	8741	567
939	8750	558
940	8760	549
941	8770	539
942	8779	530
943	8790	521
944	8800	512
945	8811	502
946	8821	493
947	8832	484
948	8842	475
949	8852	465
950	8862	456
951	8873	447
952	8883	438
953	8893	428
954	8904	419
955	8914	410
956	8924	401
957	8934	391
958	8945	382
959	8954	373
960	8963	363
961	8972	354
962	8981	345
963	8989	335
964	8998	326
965	9007	317
966	9016	307
967	9024	298
968	9033	288
969	9042	279
970	9051	270
971	9060	261
972	9069	251
973	9078	242
974	9087	233
975	9097	223
976	9107	214
977	9116	205
978	9126	195
979	9136	186
980	9146	177
981	9156	167
982	9166	158
983	9178	149
984	9188	139
985	9199	130
986	9210	121
987	9221	111
988	9231	102
989	9242	93
